vid_title,artist_name,lp_name,score,genre,order_of_reviews
Conway the Machine - God Don't Make Mistakes ALBUM REVIEW,Conway the Machine,God Don't Make Mistakes,9,EAST COAST HIP HOP,775
Black Dresses - Forget Your Own Face ALBUM REVIEW,Black Dresses,Forget Your Own Face,8,"ELECTRO-INDUSTRIAL, NOISE POP",774
Beach House - Once Twice Melody ALBUM REVIEW,Beach House,Once Twice Melody,8,DREAM POP,773
Oliver Tree - Cowboy Tears ALBUM REVIEW,Oliver Tree,Cowboy Tears,3,ALTERNATIVE POP,772
Yeat - 2 Alivë ALBUM REVIEW,Yeat,2 Alivë,4,TRAP RAP,771
alt-J - The Dream ALBUM REVIEW,alt-J,The Dream,6,ALT-POP,770
Spoon - Lucifer on the Sofa ALBUM REVIEW,Spoon,Lucifer on the Sofa,7,INDIE ROCK,769
$NOT - Ethereal ALBUM REVIEW,$NOT,Ethereal,3,TRAP RAP,768
Big Thief - Dragon New Warm Mountain I Believe in You ALBUM REVIEW,Big Thief,Dragon New Warm Mountain I Believe in You,9,INDIE FOLK,767
Saba - Few Good Things ALBUM REVIEW,Saba,Few Good Things,6,CONSCIOUS HIP HOP,766
Mitski - Laurel Hell ALBUM REVIEW,Mitski,Laurel Hell,6,"SYNTHPOP, NEW WAVE",765
"Black Country, New Road - Ants from Up There ALBUM REVIEW","Black Country, New Road",Ants from Up There,9,POST-ROCK,764
Animal Collective - Time Skiffs ALBUM REVIEW,Animal Collective,Time Skiffs,7,NEO-PSYCHEDELIA,763
Silvana Estrada - Marchita ALBUM REVIEW,Silvana Estrada,Marchita,9,"SINGER-SONGWRITER, CHAMBER FOLK",762
Krallice - Crystalline Exhaustion ALBUM REVIEW,Krallice,Crystalline Exhaustion,8,AVANT-GARDE METAL,761
Yard Act - The Overload ALBUM REVIEW,Yard Act,The Overload,7,POST-PUNK,760
tricot - Jodeki ALBUM REVIEW,tricot,Jodeki,7,MATH ROCK,759
foxtails - fawn ALBUM REVIEW,foxtails,fawn,8,CHAMBER SCREAMO,758
FKA twigs - Caprisongs ,FKA twigs,Caprisongs ,8,"ALT-POP, R&B, TRAP",757
Earl Sweatshirt - SICK! ALBUM REVIEW,Earl Sweatshirt,SICK!,6,ABSTRACT HIP HOP,756
The Weeknd - Dawn FM ALBUM REVIEW,The Weeknd,Dawn FM,8,"SYNTHPOP, R&B",755
Fire-Toolz - Eternal Home ALBUM REVIEW,Fire-Toolz,Eternal Home,7,"BLACKENED VAPOR, ETC.",754
Juice WRLD - Fighting Demons ALBUM REVIEW,Juice WRLD,Fighting Demons,4,EMO TRAP,753
death's dynamic shroud.wmv - Faith in Persona ALBUM REVIEW,death's dynamic shroud.wmv,Faith in Persona,8,"VAPORWAVE, DANCE-POP, GLITCH",752
L'Rain - Fatigue ALBUM REVIEW,L'Rain,Fatigue,8,"NEO-PSYCHEDELIC SOUL, SOUND COLLAGE",751
Snail Mail - Valentine ALBUM REVIEW,Snail Mail,Valentine,5,INDIE ROCK,750
"YoungBoy Never Broke Again - Sincerely, Kentrell ALBUM REVIEW",YoungBoy Never Broke Again,"Sincerely, Kentrell",4,TRAP RAP,749
"Deerhoof - Actually, You Can ALBUM REVIEW",Deerhoof,"Actually, You Can",8,"NOISE POP, INDIE ROCK",748
Richard Dawson & Circle - Henki ALBUM REVIEW,Richard Dawson & Circle,Henki,9,"PROG ROCK, HEAVY PSYCH",747
dltzk - Frailty ALBUM REVIEW,dltzk,Frailty,7,"EXPERIMENTAL POP, INDIETRONIC",746
Adele - 30 ALBUM REVIEW,Adele,30,7,POP SOUL,745
IDLES - Crawler ALBUM REVIEW,IDLES,Crawler,6,POST-PUNK,744
An Evening with Silk Sonic ALBUM REVIEW,An Evening with Silk Sonic,,7,"SOUL, FUNK",743
Sloppy Jane - Madison ALBUM REVIEW,Sloppy Jane,Madison,8,"ART POP, CHAMBER MUSIC...IN A CAVE",742
Aminé - TwoPointFive ,Aminé,TwoPointFive ,6,"ALTERNATIVE HIP HOP, TRAP RAP",741
The War on Drugs - I Don't Live Here Anymore ALBUM REVIEW,The War on Drugs,I Don't Live Here Anymore,5,"HEARTLAND ROCK, INDIE ROCK",740
Mastodon - Hushed and Grim ALBUM REVIEW,Mastodon,Hushed and Grim,6,PROG METAL,739
Ed Sheeran - = ALBUM REVIEW,Ed Sheeran, =,2,POP,738
JPEGMAFIA - LP! ALBUM REVIEW,JPEGMAFIA,LP!,9,EXPERIMENTAL HIP HOP,737
Coldplay - Music of the Spheres ALBUM REVIEW,Coldplay,Music of the Spheres,2,"SYNTHPOP, POP ROCK",736
Lil Ugly Mane - Volcanic Bird Enemy and the Voiced Concern ALBUM REVIEW,Lil Ugly Mane,Volcanic Bird Enemy and the Voiced Concern,7,LOOK AT THE ALBUM COVER,735
Remi Wolf - Juno ALBUM REVIEW,Remi Wolf,Juno,7,FUNKY SOUL POP,734
Young Thug - Punk ALBUM REVIEW,Young Thug,Punk,3,TRAP RAP,733
James Blake - Friends That Break Your Heart ALBUM REVIEW,James Blake,Friends That Break Your Heart,8,"ALTERNATIVE R&B, AMBIENT POP",732
Magdalena Bay - Mercurial World ALBUM REVIEW,Magdalena Bay,Mercurial World,8,SYNTHPOP,731
Don Toliver - Life of a Don ALBUM REVIEW,Don Toliver,Life of a Don,4,MELO-TRAP,730
Blu - The Color Blu(e) ALBUM REVIEW,Blu,The Color Blu(e),8,CONSCIOUS HIP HOP,729
Frontierer - Oxidized ALBUM REVIEW,Frontierer,Oxidized,6,"MATHCORE, DJENT, GLITCH",728
illuminati hotties - Let Me Do One More ALBUM REVIEW,illuminati hotties,Let Me Do One More,8,"INDIE ROCK, TENDERPUNK",727
Wiki - Half God ALBUM REVIEW,Wiki,Half God,8,ALTERNATIVE HIP HOP,726
Sufjan Stevens & Angelo De Augustine - A Beginner's Mind ALBUM REVIEW,Sufjan Stevens & Angelo De Augustine,A Beginner's Mind,8,"INDIE FOLK, CHAMBER POP",725
ZillaKami - DOG BOY ALBUM REVIEW,ZillaKami,DOG BOY,2,"TRAP METAL, GRUNGE RAP",724
Carcass - Torn Arteries ALBUM REVIEW,Carcass,Torn Arteries,7,MELODIC DEATH METAL,723
Injury Reserve - By the Time I Get to Phoenix ALBUM REVIEW,Injury Reserve,By the Time I Get to Phoenix,9,"EXPERIMENTAL HIP HOP, GLITCH",722
Lil Nas X - Montero ALBUM REVIEW,Lil Nas X,Montero,7,W BUT STILL RATIO,721
Low - HEY WHAT ALBUM REVIEW,Low,HEY WHAT,8,"NOISE, POST-INDUSTRIAL, DRONE, GOSPEL",720
Baby Keem - The Melodic Blue ALBUM REVIEW,Baby Keem,The Melodic Blue,6,ALTERNATIVE HIP HOP,719
Kacey Musgraves - star-crossed ALBUM REVIEW,Kacey Musgraves,star-crossed,2,"POP, CROSSOVER COUNTRY",718
Lady Gaga - Dawn of Chromatica ALBUM REVIEW,Lady Gaga,Dawn of Chromatica,7,"HYPERPOP, HOUSE, DECONSTRUCTED CLUB",717
Little Simz - Sometimes I Might Be Introvert ALBUM REVIEW,Little Simz,Sometimes I Might Be Introvert,8,"CONSCIOUS HIP HOP, ORCHESTRAL RAP, NEO-SOUL",716
Drake - Certified Lover Boy ALBUM REVIEW,Drake,Certified Lover Boy,3,POP RAP,715
"Halsey - If I Can't Have Love, I Want Power ALBUM REVIEW",Halsey,"If I Can't Have Love, I Want Power",6,"ALTERNATIVE POP, INDUSTRIAL ROCK",714
Between the Buried and Me - Colors II ALBUM REVIEW,Between the Buried and Me,Colors II,4,"PROG METAL, METALCORE, METALLIC ZANINESS",713
Turnstile - Glow On ALBUM REVIEW,Turnstile,Glow On,8,"POST-HARDCORE, DREAM PUNK",712
Boldy James & The Alchemist - Bo Jackson ALBUM REVIEW,Boldy James & The Alchemist,Bo Jackson,7,"BOOM BAP, JAZZ RAP",711
The Killers - Pressure Machine ALBUM REVIEW,The Killers,Pressure Machine,7,HEARTLAND ROCK,710
Trippie Redd - Trip at Knight ALBUM REVIEW,Trippie Redd,Trip at Knight,5,"TRAP, SYNTH-RAP",709
Lorde - Solar Power ALBUM REVIEW,Lorde,Solar Power,4,"PSYCH POP, SOFT ROCK, INDIE FOLK",708
Deafheaven - Infinite Granite ALBUM REVIEW,Deafheaven,Infinite Granite,3,"SHOEGAZE, POST-ROCK",707
Pink Siifu - GUMBO'! ALBUM REVIEW,Pink Siifu,GUMBO'!,8,"SOUTHERN HIP HOP, CLOUD RAP",706
$uicideboy$ - Long Term Effects of Suffering ALBUM REVIEW,$uicideboy$,Long Term Effects of Suffering,4,"TRAP RAP, HORRORCORE",705
Yola - Stand for Myself ALBUM REVIEW,Yola,Stand for Myself,8,COUNTRY SOUL,704
Lingua Ignota - Sinner Get Ready ALBUM REVIEW,Lingua Ignota,Sinner Get Ready,10,"NEOCLASSICAL DARKWAVE, NEOFOLK, DRONE, LITURGICAL MUSIC",703
Nas - King's Disease II ALBUM REVIEW,Nas,King's Disease II,8,EAST COAST HIP HOP,702
Billie Eilish - Happier Than Ever ALBUM REVIEW,Billie Eilish,Happier Than Ever,7,"POP, R&B",701
Isaiah Rashad - The House Is Burning ALBUM REVIEW,Isaiah Rashad,The House Is Burning,5,SOUTHERN HIP HOP,700
Logic - Bobby Tarantino III ,Logic,Bobby Tarantino III ,3,"TRAP RAP, BOOM BAP",699
Dave - We're All Alone in This Together ALBUM REVIEW,Dave,We're All Alone in This Together,6,CONSCIOUS HIP HOP,698
KSI - All Over the Place ALBUM REVIEW,KSI,All Over the Place,5,"POP RAP, UK HIP HOP",697
Clairo - Sling ALBUM REVIEW,Clairo,Sling,7,"SINGER-SONGWRITER, CHAMBER FOLK, SOFT ROCK",696
Pop Smoke - Faith ALBUM REVIEW,Pop Smoke,Faith,4,"POP RAP, TRAP, NY DRILL",695
Twin Shadow - Twin Shadow ALBUM REVIEW,Twin Shadow,Twin Shadow,8,"PSYCH POP, SYNTHPOP",694
Vince Staples - Vince Staples ALBUM REVIEW,Vince Staples,Vince Staples,7,"TRAP RAP, WEST COAST HIP HOP",693
Hiatus Kaiyote - Mood Valiant ALBUM REVIEW,Hiatus Kaiyote,Mood Valiant,7,"NEO-SOUL, NU-JAZZ",692
Gaspard Augé - Escapades ALBUM REVIEW,Gaspard Augé,Escapades,4,ELECTRO-DISCO,691
Spellling - The Turning Wheel ALBUM REVIEW,Spellling,The Turning Wheel,10,ART POP,690
Doja Cat - Planet Her ALBUM REVIEW,Doja Cat,Planet Her,5,POP RAP,689
"Tyler, the Creator - Call Me If You Get Lost ALBUM REVIEW","Tyler, the Creator",Call Me If You Get Lost,8,"ALTERNATIVE HIP HOP, NEO-SOUL",688
Polo G - Hall of Fame ALBUM REVIEW,Polo G,Hall of Fame,6,TRAP RAP,687
Pi'erre Bourne - The Life of Pi'erre 5 ALBUM REVIEW,Pi'erre Bourne,The Life of Pi'erre 5,5,TRAP RAP,686
Dean Blunt - Black Metal 2 ALBUM REVIEW,Dean Blunt,Black Metal 2,7,MORE BLACK METAL,685
Migos - Culture III ALBUM REVIEW,Migos,Culture III,2,TRAP RAP,684
Japanese Breakfast - Jubilee ALBUM REVIEW,Japanese Breakfast,Jubilee,7,INDIE POP,683
Wolf Alice - Blue Weekend ALBUM REVIEW,Wolf Alice,Blue Weekend,4,"ALT ROCK, DREAM POP",682
black midi - Cavalcade ALBUM REVIEW,black midi,Cavalcade,8,"AVANT-PROG, ART ROCK",681
Panopticon - ...And Again Into the Light ALBUM REVIEW,Panopticon,...And Again Into the Light,8,"ATMOSPHERIC BLACK METAL, POST-ROCK, AMERICANA",680
twenty one pilots - Scaled and Icy ALBUM REVIEW,twenty one pilots,Scaled and Icy,2,ALTERNATIVE POP,679
Sons of Kemet - Black to the Future ALBUM REVIEW,Sons of Kemet,Black to the Future,7,AFRO-JAZZ,678
St. Vincent - Daddy's Home ALBUM REVIEW,St. Vincent,Daddy's Home,9,"PSYCHEDELIC SOUL, SOFT ROCK",677
J. Cole - The Off-Season ALBUM REVIEW,J. Cole,The Off-Season,7,"POP RAP, CONSCIOUS HIP HOP",676
Iceage - Seek Shelter ALBUM REVIEW,Iceage,Seek Shelter,7,POST-PUNK,675
Weezer - Van Weezer ALBUM REVIEW,Weezer,Van Weezer,5,"POWER POP, HARD ROCK",674
Czarface & MF DOOM - Super What? ALBUM REVIEW,Czarface & MF DOOM,Super What?,6,EAST COAST HIP HOP,673
Sematary - Rainbow Bridge 3 ,Sematary,Rainbow Bridge 3 ,8,"HORRORCORE, TRAP METAL, NOISE, WITCH HOUSE",672
Gojira - Fortitude ALBUM REVIEW,Gojira,Fortitude,7,PROGRESSIVE GROOVE METAL,671
girl in red - if i could make it go quiet ALBUM REVIEW,girl in red,if i could make it go quiet,3,INDIE POP,670
DJ Khaled - Khaled Khaled ALBUM REVIEW,DJ Khaled,Khaled Khaled,4,POP RAP,669
Porter Robinson - Nurture ALBUM REVIEW,Porter Robinson,Nurture,8,"ELECTROPOP, GLITCH, FOLKTRONIC",668
Greta Van Fleet - The Battle at Garden's Gate ALBUM REVIEW,Greta Van Fleet,The Battle at Garden's Gate,2,HARD ROCK,667
Lil Yachty - Michigan Boy Boat ,Lil Yachty,Michigan Boy Boat ,4,TRAP RAP,666
Cannibal Corpse - Violence Unimagined ALBUM REVIEW,Cannibal Corpse,Violence Unimagined,7,DEATH METAL,665
Jeff Rosenstock - SKA DREAM ALBUM REVIEW,Jeff Rosenstock,SKA DREAM,8,SKA PUNK,664
"BROCKHAMPTON - ROADRUNNER: NEW LIGHT, NEW MACHINE ALBUM REVIEW",BROCKHAMPTON,"ROADRUNNER: NEW LIGHT, NEW MACHINE",8,ALTERNATIVE HIP HOP,663
"Floating Points, Pharoah Sanders & The LSO - Promises ALBUM REVIEW","Floating Points, Pharoah Sanders & The LSO",Promises,9,"SPIRITUAL JAZZ, CONTEMPORARY CLASSICAL, ELECTRONIC",662
Quadeca - From Me to You ALBUM REVIEW,Quadeca,From Me to You,5,"EMO TRAP, EXPERIMENTAL HIP HOP",661
Armand Hammer & The Alchemist - Haram ALBUM REVIEW,Armand Hammer & The Alchemist,Haram,8,ABSTRACT HIP HOP,660
NF - Clouds ,NF,Clouds ,5,"POP RAP, CONSCIOUS HIP HOP",659
Lana Del Rey - Chemtrails Over the Country Club ALBUM REVIEW,Lana Del Rey,Chemtrails Over the Country Club,7,"SINGER-SONGWRITER, DREAM POP, SOFT ROCK, AMERICANA",658
Justin Bieber - Justice ALBUM REVIEW,Justin Bieber,Justice,3,POP,657
Sleaford Mods - Spare Ribs ALBUM REVIEW,Sleaford Mods,Spare Ribs,4,"UK HIP HOP, POST-PUNK",656
Genesis Owusu - Smiling with No Teeth ALBUM REVIEW,Genesis Owusu,Smiling with No Teeth,8,"NEO-SOUL, ALTERNATIVE HIP HOP",655
Nick Cave & Warren Ellis - Carnage ALBUM REVIEW,Nick Cave & Warren Ellis,Carnage,8,"CHAMBER POP, AMBIENT, SINGER-SONGWRITER",654
Ad Nauseam - Imperative Imperceptible Impulse ALBUM REVIEW,Ad Nauseam,Imperative Imperceptible Impulse,8,"TECH DEATH, CONTEMPORARY CLASSICAL",653
Black Dresses - Forever in Your Heart ALBUM REVIEW,Black Dresses,Forever in Your Heart,8,"ELECTRO-INDUSTRIAL, GLITCH POP",652
slowthai - TYRON ALBUM REVIEW,slowthai,TYRON,8,"TRAP RAP, UK HIP HOP",651
"Black Country, New Road - For the first time ALBUM REVIEW","Black Country, New Road",For the first time,8,"ART ROCK, POST-PUNK, KLEZMER",650
Weezer - OK Human ALBUM REVIEW,Weezer,OK Human,8,"POP ROCK, BAROQUE POP",649
Jazmine Sullivan - Heaux Tales EP REVIEW,Jazmine Sullivan,Heaux Tales,8,R&B,648
Viagra Boys - Welfare Jazz ALBUM REVIEW,Viagra Boys,Welfare Jazz,8,"ART PUNK, PUNK BLUES, COWPUNK",647
Eminem - Music to Be Murdered By – Side B ALBUM REVIEW,Eminem,Music to Be Murdered By – Side B,3,"HORRORCORE, HARDCORE HIP HOP, POP RAP",646
Playboi Carti - Whole Lotta Red ALBUM REVIEW,Playboi Carti,Whole Lotta Red,5,"EXPERIMENTAL HIP HOP, VAMP TRAP, TREAD PUNK",645
Gorillaz - Plastic Beach REDUX REVIEW,Gorillaz,Plastic Beach,9,"ELECTROPOP, ALTERNATIVE HIP HOP",644
Taylor Swift - Evermore ALBUM REVIEW,Taylor Swift,Evermore,7,FOLK POP,643
Kid Cudi - Man on the Moon III: The Chosen ALBUM REVIEW,Kid Cudi,Man on the Moon III: The Chosen,7,PSYCH TRAP,642
Jack Harlow - That's What They All Say ALBUM REVIEW,Jack Harlow,That's What They All Say,4,POP RAP,641
Ichiko Aoba - Windswept Adan ALBUM REVIEW,Ichiko Aoba,Windswept Adan,9,"CHAMBER FOLK, AMBIENT",640
Boldy James & Sterling Toles - Manger on McNichols ALBUM REVIEW,Boldy James & Sterling Toles,Manger on McNichols,8,"INTROSPECTIVE GANGSTA RAP, CHAMBER JAZZ",639
The Koreatown Oddity - Little Dominiques Nosebleed ALBUM REVIEW,The Koreatown Oddity,Little Dominiques Nosebleed,8,"ABSTRACT HIP HOP, JAZZ RAP",638
Miley Cyrus - Plastic Hearts ALBUM REVIEW,Miley Cyrus,Plastic Hearts,6,"POP ROCK, SYNTHPOP, EIGHTIES VIBES",637
Liturgy - Origin of the Alimonies ALBUM REVIEW,Liturgy,Origin of the Alimonies,8,"TRANSCENDENTAL BLACK METAL, OPERA, AVANT-GARDE METAL, CLASSICAL, EXPERIMENTAL HIP HOP, EXPERIMENTAL ROCK ",636
King Gizzard & the Lizard Wizard - K.G. ALBUM REVIEW,King Gizzard & the Lizard Wizard,K.G.,6,MICROTONAL PSYCH ROCK,635
William Basinski - Lamentations ALBUM REVIEW,William Basinski,Lamentations,7,"AMBIENT, TAPE MUSIC",634
Undeath - Lesions of a Different Kind ALBUM REVIEW,Undeath,Lesions of a Different Kind,8,DEATH METAL,633
Chris Stapleton - Starting Over ALBUM REVIEW,Chris Stapleton,Starting Over,8,COUNTRY,632
Ariana Grande - Positions ALBUM REVIEW,Ariana Grande,Positions,5,POP,631
POST HUMAN: SURVIVAL HORROR,Bring Me the Horizon,POST HUMAN: SURVIVAL HORROR,8,ALT METAL,630
Adrianne Lenker - Songs ALBUM REVIEW,Adrianne Lenker,Songs,8,"SINGER-SONGWRITER, INDIE FOLK",629
Jean Dawson - Pixel Bath ALBUM REVIEW,Jean Dawson,Pixel Bath,7,GENRE-BLENDING INDIE POP,628
clipping. - Visions of Bodies Being Burned ALBUM REVIEW,clipping.,Visions of Bodies Being Burned,9,"HORRORCORE, INDUSTRIAL HIP HOP, NOISE, DARK AMBIENT",627
"Gorillaz - Song Machine, Season One: Strange Timez ALBUM REVIEW",Gorillaz,"Song Machine, Season One: Strange Timez",8,"SYNTHPOP, ALTERNATIVE HIP HOP",626
Dorian Electra - My Agenda ALBUM REVIEW,Dorian Electra,My Agenda,8,"BUBBLEGUM BASS, INDUSTRIAL POP, BROSTEP, TRAP",625
BLACKPINK - The Album ALBUM REVIEW,BLACKPINK,The Album,6,K-POP,624
Spillage Village - Spilligion ALBUM REVIEW,Spillage Village,Spilligion,5,"SOUTHERN HIP HOP, NEO-SOUL",623
Deftones - Ohms ALBUM REVIEW,Deftones,Ohms,3,ALT-METAL,622
Idles - Ultra Mono ALBUM REVIEW,Idles,Ultra Mono,8,POST-PUNK,621
Joji - Nectar ALBUM REVIEW,Joji,Nectar,6,ALTERNATIVE R&B,620
Osees (Oh Sees) - Protean Threat ALBUM REVIEW,Osees (Oh Sees),Protean Threat,6,"GARAGE PUNK, PSYCH ROCK",619
A. G. Cook - Apple ALBUM REVIEW,A. G. Cook,Apple,5,"BUBBLEGUM BASS, ELECTROPOP, DECONSTRUCTED CLUB",618
Sevdaliza - Shabrang ALBUM REVIEW,Sevdaliza,Shabrang,8,"ART POP, TRIP HOP, ALTERNATIVE R&B",617
The Flaming Lips - American Head ALBUM REVIEW,The Flaming Lips,American Head,8,PSYCH POP,616
A. G. Cook - 7G ALBUM REVIEW,A. G. Cook,7G,6,EVERYTHING A. G. COOK DOES,615
Imperial Triumphant - Alphaville ALBUM REVIEW,Imperial Triumphant,Alphaville,8,AVANT-GARDE METAL,614
100 gecs - 1000 gecs and the Tree of Clues ALBUM REVIEW,100 gecs,1000 gecs and the Tree of Clues,7,LOTS OF GECS,613
JME - Grime MC ALBUM REVIEW,JME,Grime MC,7,"GRIME, UK HIP HOP",612
Chloe x Halle - Ungodly Hour ALBUM REVIEW,Chloe x Halle,Ungodly Hour,8,"R&B, NEO-SOUL, DANCE-POP",611
Run the Jewels - RTJ4 ALBUM REVIEW,Run the Jewels,RTJ4,8,HARDCORE HIP HOP,610
Deerhoof - Future Teenage Cave Artists ALBUM REVIEW,Deerhoof,Future Teenage Cave Artists,8,"EXPERIMENTAL ROCK, NOISE POP, NEO-PSYCH",609
Freddie Gibbs & The Alchemist - Alfredo ALBUM REVIEW w/DeadEndHipHop,Freddie Gibbs & The Alchemist,Alfredo w/DeadEndHipHop,8,"HARDCORE HIP HOP, GANGSTA RAP",608
Lady Gaga - Chromatica ALBUM REVIEW,Lady Gaga,Chromatica,7,DANCE-POP,607
Jeff Rosenstock - NO DREAM ALBUM REVIEW,Jeff Rosenstock,NO DREAM,8,"POP PUNK, POWER POP",606
KSI - Dissimulation ALBUM REVIEW,KSI,Dissimulation,4,POP RAP,605
Perfume Genius - Set My Heart on Fire Immediately ALBUM REVIEW,Perfume Genius,Set My Heart on Fire Immediately,8,ART POP,604
Moses Sumney - græ ALBUM REVIEW,Moses Sumney,græ,7,"ART POP, NEO-SOUL",603
Yung Lean - Starz ALBUM REVIEW,Yung Lean,Starz,5,"CLOUD RAP, AMBIENT POP, ALTERNATIVE R&B",602
Charli XCX - how i'm feeling now ALBUM REVIEW,Charli XCX,how i'm feeling now,8,"ELECTROPOP, BUBBLEGUM BASS, QUARANTINE BOPS",601
Natalia Lafourcade - Un Canto por México Vol. 1 ALBUM REVIEW,Natalia Lafourcade,Un Canto por México Vol. 1,8,MEXICAN FOLK MUSIC,600
Ka - Descendants of Cain ALBUM REVIEW,Ka,Descendants of Cain,7,"ABSTRACT HIP HOP, GANGSTA RAP",599
Drake - Dark Lane Demo Tapes ,Drake,Dark Lane Demo Tapes ,3,"POP RAP, TRAP, CONTEMPORARY R&B",598
Black Dresses - Peaceful as Hell ALBUM REVIEW,Black Dresses,Peaceful as Hell,9,"NOISE POP, ELECTRO-INDUSTRIAL",597
Quelle Chris & Chris Keys - Innocent Country 2 ALBUM REVIEW,Quelle Chris & Chris Keys,Innocent Country 2,8,"CONSCIOUS HIP HOP, JAZZ RAP, NEO-SOUL",596
Lido Pimienta - Miss Colombia ALBUM REVIEW,Lido Pimienta,Miss Colombia,8,"ART POP, DIGITAL CUMBIA",595
Westside Gunn - Pray for Paris ALBUM REVIEW,Westside Gunn,Pray for Paris,6,"EAST COAST HIP HOP, HARDCORE HIP HOP",594
Fiona Apple - Fetch the Bolt Cutters ALBUM REVIEW,Fiona Apple,Fetch the Bolt Cutters,7,"SINGER-SONGWRITER, ART POP",593
Rina Sawayama - Sawayama ALBUM REVIEW,Rina Sawayama,Sawayama,8,"ELECTROPOP, ALTERNATIVE R&B",592
DaBaby - Blame It on Baby ALBUM REVIEW,DaBaby,Blame It on Baby,4,TRAP RAP,591
Laura Marling - Song for Our Daughter ALBUM REVIEW,Laura Marling,Song for Our Daughter,9,"SINGER-SONGWRITER, CHAMBER FOLK",590
The Strokes - The New Abnormal ALBUM REVIEW,The Strokes,The New Abnormal,8,"INDIE ROCK, POST-PUNK REVIVAL, SYNTHPOP",589
Dua Lipa - Future Nostalgia ALBUM REVIEW,Dua Lipa,Future Nostalgia,7,"DANCE POP, NU-DISCO",588
Don Toliver - Heaven or Hell ALBUM REVIEW,Don Toliver,Heaven or Hell,5,TRAP RAP,587
Horse Lords - The Common Task ALBUM REVIEW,Horse Lords,The Common Task,8,"MATH ROCK, POST-MINIMALISM, DRONE",586
The Garden - Kiss My Super Bowl Ring ALBUM REVIEW,The Garden,Kiss My Super Bowl Ring,6,"SYNTH PUNK, EXPERIMENTAL ROCK",585
Childish Gambino - 3.15.20 ALBUM REVIEW,Childish Gambino,3.15.20,4,"NEO-SOUL, ALTERNATIVE HIP HOP",584
The Weeknd - After Hours ALBUM REVIEW,The Weeknd,After Hours,7,ALTERNATIVE R&B,583
R.A.P. Ferreira - Purple Moonlight Pages ALBUM REVIEW,R.A.P. Ferreira,Purple Moonlight Pages,8,"JAZZ RAP, ABSTRACT HIP HOP",582
Machine Girl - U-Void Synthesizer ALBUM REVIEW,Machine Girl,U-Void Synthesizer,5,"DIGITAL HARDCORE, CYBERGRIND, ELECTRO-INDUSTRIAL",581
Jay Electronica - A Written Testimony ALBUM REVIEW,Jay Electronica,A Written Testimony,5,CONSCIOUS HIP HOP,580
Lil Uzi Vert - LUV vs. the World 2 ALBUM REVIEW,Lil Uzi Vert,LUV vs. the World 2,5,TRAP RAP,579
Lil Uzi Vert - Eternal Atake ALBUM REVIEW,Lil Uzi Vert,Eternal Atake,4,TRAP RAP,578
King Krule - Man Alive! ALBUM REVIEW,King Krule,Man Alive!,8,"ART ROCK, POST-PUNK, NEO-PSYCHEDELIA",577
Frances Quinlan - Likewise ALBUM REVIEW,Frances Quinlan,Likewise,6,"SINGER-SONGWRITER, INDIE POP",576
Denzel Curry x Kenny Beats - Unlocked ALBUM REVIEW,Denzel Curry x Kenny Beats,Unlocked,8,"HARDCORE HIP HOP, BOOM BAP, WONKY",575
Green Day - Father of All... ALBUM REVIEW,Green Day,Father of All...,0,"NO FEATURES, NO SWEDISH SONGWRITERS, NO TRAP BEATS, 100% PURE UNCUT ROCK",574
Dan Deacon - Mystic Familiar ALBUM REVIEW,Dan Deacon,Mystic Familiar,8,"NEO-PSYCHEDELIA, POST-MINIMALISM, INDIETRONIC, PROGRESSIVE POP",573
Lil Wayne - Funeral ALBUM REVIEW,Lil Wayne,Funeral,4,"HARDCORE HIP HOP, POP RAP",572
Kesha - High Road ALBUM REVIEW,Kesha,High Road,7,POP,571
Roddy Ricch - Please Excuse Me for Being Antisocial ALBUM REVIEW,Roddy Ricch,Please Excuse Me for Being Antisocial,7,TRAP RAP,570
Poppy - I Disagree ALBUM REVIEW,Poppy,I Disagree,8,"ALTERNATIVE METAL, ELECTRO-INDUSTRIAL, DREAM POP",569
Stormzy - Heavy Is the Head ALBUM REVIEW,Stormzy,Heavy Is the Head,8,"UK HIP HOP, POP RAP, GRIME",568
Jackboys & Travis Scott - Self-Titled ALBUM REVIEW,Jackboys & Travis Scott,Self-Titled,5,TRAP RAP,567
Mac Miller - Circles ALBUM REVIEW,Mac Miller,Circles,8,"NEO-SOUL, POP RAP, SINGER-SONGWRITER",566
Eminem - Music to Be Murdered By ALBUM REVIEW,Eminem,Music to Be Murdered By,5,"HARDCORE HIP HOP, TRAP RAP, HORRORCORE",565
Kanye West - My Beautiful Dark Twisted Fantasy REDUX REVIEW,Kanye West,My Beautiful Dark Twisted Fantasy,6,"MAXIMALIST HIP HOP, BAROQUE RAP, ART POP",564
Harry Styles - Fine Line ALBUM REVIEW,Harry Styles,Fine Line,5,"POP SOUL, POP ROCK",563
glass beach - the first glass beach album ALBUM REVIEW,glass beach,the first glass beach album,7,"POST-EMO, POWER POP",562
ECCO2K - E ALBUM REVIEW,ECCO2K,E,7,"ALTERNATIVE R&B, CLOUD RAP, AMBIENT POP",561
Cattle Decapitation - Death Atlas ALBUM REVIEW,Cattle Decapitation,Death Atlas,6,"MELODIC TECH DEATH, DEATHGRIND",560
Griselda - WWCD ALBUM REVIEW,Griselda,WWCD,7,"EAST COAST HIP HOP, BOOM BAP, GANGSTA RAP",559
